Agency,Client ID,Quarter,Baseline,DOB,DOB_Cat,Gender,Race,MaritalStatus,HighestEd,HousingType,HHAdults,HHChildren,CriminalBackground,ZipCode,date,Residential,TANFClient
CCD,1019852,2019 Q2,1,2/20/1988,1981-1990,Female,Hispanic,Single,"Some college, no degree",Rents,2,1,No,75220,4/1/2019,,
CCD,1020068,2019 Q2,1,4/21/1969,1961-1970,Male,Hispanic,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,2,1,No,75240,4/1/2019,,
CCD,1021230,2019 Q2,1,2/3/1964,1961-1970,Female,Hispanic,Married or Domestic Partnership,Graduate Degree or above,Homeless,2,0,No,75243,4/1/2019,,
CCD,1014183,2019 Q2,1,10/21/1989,1981-1990,Female,Hispanic,Single,"HS, GED, or equivalent",Rents,2,2,No,75227,4/1/2019,,
CCD,1020796,2019 Q2,1,5/18/1984,1981-1990,Male,Hispanic,Single,"HS, GED, or equivalent",Rents,2,2,No,75227,4/1/2019,,
CCD,1001845,2019 Q2,1,6/22/1980,1971-1980,Male,American Indian or Alaska Native,Married or Domestic Partnership,"Some college, no degree",Rents,2,3,No,75228,4/1/2019,,
CCD,1021067,2019 Q2,1,12/21/1985,1981-1990,Male,Hispanic,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,2,3,No,75211,4/1/2019,,
CCD,1021192,2019 Q2,1,9/7/1979,1971-1980,Female,Hispanic,Divorced,Bachelor's Degree,Rents,1,2,No,75044,4/1/2019,,
CCD,1020793,2019 Q2,1,2/11/1980,1971-1980,Female,Hispanic,Married or Domestic Partnership,"HS, GED, or equivalent",Owns,3,2,No,75208,4/1/2019,,
CCD,1019809,2019 Q2,1,5/23/1957,1951-1960,Female,Hispanic,Married or Domestic Partnership,"HS, GED, or equivalent",Owns,3,0,No,75074,4/1/2019,,
CCD,1019853,2019 Q2,1,1/6/1953,1951-1960,Male,Hispanic,Single,"HS, GED, or equivalent",Homeless,2,0,No,75088,4/1/2019,,
CCD,1020803,2019 Q2,1,2/29/1972,1971-1980,Male,Hispanic,Single,"HS, GED, or equivalent",Rents,3,1,No,75220,4/1/2019,,
CCD,1020674,2019 Q2,1,3/23/1965,1961-1970,Male,Hispanic,Married or Domestic Partnership,Bachelor's Degree,Rents,3,0,No,75208,4/1/2019,,
CCD,1019970,2019 Q2,1,10/15/1969,1961-1970,Female,Hispanic,Divorced,"HS, GED, or equivalent",Lives with Relatives/Friends,2,1,No,75227,4/1/2019,,
CCD,1020794,2019 Q2,1,10/5/1963,1961-1970,Female,Hispanic,Single,Bachelor's Degree,Lives with Relatives/Friends,1,0,No,75247,4/1/2019,,
CCD,1019975,2019 Q2,1,5/12/1978,1971-1980,Male,Hispanic,Separated,"Some college, no degree",Rents,2,1,No,76108,4/1/2019,,
CCD,1019933,2019 Q2,1,8/10/1978,1971-1980,Male,Hispanic,Single,Less than HS,Homeless,2,5,Yes,75247,4/1/2019,,
CCD,1020182,2019 Q2,1,8/17/1982,1981-1990,Female,Hispanic,Separated,"Some college, no degree",Owns,2,4,No,75211,4/1/2019,,
CCD,1001170,2019 Q2,1,1/9/1980,1971-1980,Female,Hispanic,Divorced,Graduate Degree or above,Rents,2,2,No,75211,4/1/2019,,
CCD,1001480,2019 Q2,1,3/11/1994,1991-2000,Female,Hispanic,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,3,1,No,75217,4/1/2019,,
CCD,1019708,2019 Q2,1,7/9/1993,1991-2000,Female,Hispanic,Single,"HS, GED, or equivalent",Lives with Relatives/Friends,3,3,No,75220,4/1/2019,,
CCD,1020461,2019 Q2,1,11/7/1973,1971-1980,Female,Hispanic,Single,"HS, GED, or equivalent",Owns,1,0,Yes,75216,4/1/2019,,
CCD,1019812,2019 Q2,1,7/9/1991,1991-2000,Female,Hispanic,Married or Domestic Partnership,"HS, GED, or equivalent",Rents,3,0,No,75220,4/1/2019,,
CCD,1019811,2019 Q2,1,6/29/1971,1971-1980,Female,Hispanic,Separated,"HS, GED, or equivalent",Rents,3,0,No,75208,4/1/2019,,
CCD,1020897,2019 Q2,1,8/4/1983,1981-1990,Female,Hispanic,Single,Unknown,Rents,2,3,No,75228,4/1/2019,,
CCD,1020786,2019 Q2,1,9/6/1977,1971-1980,Male,Hispanic,Single,"HS, GED, or equivalent",Rents,2,2,No,76010,4/1/2019,,
CCD,1019601,2019 Q2,1,12/20/1975,1971-1980,Female,Hispanic,Divorced,Unknown,Rents,2,2,No,75418,4/1/2019,,
CCD,1020190,2019 Q2,1,10/9/1978,1971-1980,Male,Hispanic,Married or Domestic Partnership,"Some college, no degree",Owns,3,1,No,75089,4/1/2019,,
CCD,1020696,2019 Q2,1,3/2/1991,1991-2000,Female,Hispanic,Single,Unknown,Rents,2,1,No,75038,4/1/2019,,
CitySquare,12102374,2019 Q2,1,5/1/1991,1991-2000,Female,Black or African American,Unknown,Less than HS,Unknown,1,0,No,75210,4/1/2019,0,0
CitySquare,1241629,2019 Q2,1,1/24/1958,1951-1960,Male,White,Divorced,"HS, GED, or equivalent",Lives with Relatives/Friends,1,0,No,75226,4/1/2019,0,0
CitySquare,1290720,2019 Q2,1,5/20/1986,1981-1990,Male,Black or African American,Single,"HS, GED, or equivalent",Homeless,1,0,No,75229,4/1/2019,0,0
CitySquare,12101907,2019 Q2,1,1/22/1970,1961-1970,Male,Black or African American,Single,Less than HS,Unknown,1,0,No,75219,4/1/2019,0,0
CitySquare,12102344,2019 Q2,1,3/14/1997,1991-2000,Male,Black or African American,Single,"HS, GED, or equivalent",Lives with Relatives/Friends,3,0,No,75216,4/1/2019,0,0
CitySquare,12100396,2019 Q2,1,8/30/1955,1951-1960,Male,Black or African American,Single,,Unknown,1,0,No,75023,4/1/2019,0,0
CitySquare,12101908,2019 Q2,1,12/23/1989,1981-1990,Male,Black or African American,Unknown,Less than HS,Lives with Relatives/Friends,2,1,No,75226,4/1/2019,0,0
CitySquare,12103249,2019 Q2,1,4/2/1978,1971-1980,Female,Black or African American,Unknown,,Unknown,2,2,No,75217,4/1/2019,0,0
CitySquare,12101910,2019 Q2,1,11/8/1990,1981-1990,Male,Hispanic,Unknown,Less than HS,Unknown,1,3,No,75212,4/1/2019,0,0
CitySquare,1222874,2019 Q2,1,6/16/1997,1991-2000,Male,Hispanic,Unknown,Less than HS,Lives with Relatives/Friends,2,1,No,75217,4/1/2019,0,0
CitySquare,1212197,2019 Q2,1,11/8/1998,1991-2000,Female,Hispanic,Unknown,Less than HS,Lives with Relatives/Friends,1,1,No,75203,4/1/2019,0,0
CitySquare,12102376,2019 Q2,1,8/6/1997,1991-2000,Male,Black or African American,Unknown,"HS, GED, or equivalent",Unknown,4,0,No,75235,4/1/2019,0,0
CitySquare,12102730,2019 Q2,1,2/16/1993,1991-2000,Female,Black or African American,Single,"Some college, no degree",Lives with Relatives/Friends,1,0,No,75034,4/1/2019,0,0
CitySquare,12101911,2019 Q2,1,7/26/1976,1971-1980,Male,Black or African American,Unknown,Less than HS,Lives with Relatives/Friends,2,1,No,75104,4/1/2019,0,0
CitySquare,12101914,2019 Q2,1,11/1/1991,1991-2000,Male,Black or African American,Unknown,"HS, GED, or equivalent",Homeless,1,0,No,75201,4/1/2019,0,0
CitySquare,12101915,2019 Q2,1,4/9/1990,1981-1990,Male,Black or African American,Unknown,,Homeless,2,1,No,75116,4/1/2019,0,0
CitySquare,12102034,2019 Q2,1,1/25/1974,1971-1980,Male,Black or African American,Single,"HS, GED, or equivalent",Unknown,1,0,No,75150,4/1/2019,0,0
CitySquare,12102178,2019 Q2,1,7/1/1967,1961-1970,Female,Black or African American,Divorced,"Some college, no degree",Homeless,1,0,No,75226,4/1/2019,0,0
CitySquare,12102091,2019 Q2,1,9/11/1990,1981-1990,Female,Hispanic,Unknown,"HS, GED, or equivalent",Lives with Relatives/Friends,1,2,No,75212,4/1/2019,0,0
CitySquare,1296605,2019 Q2,1,2/13/1973,1971-1980,Male,Black or African American,Single,Less than HS,Homeless,1,0,No,75226,4/1/2019,0,0
CitySquare,1222930,2019 Q2,1,6/23/1958,1951-1960,Female,Black or African American,Single,Bachelor's Degree,Lives with Relatives/Friends,1,0,No,75204,4/1/2019,0,0
